title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
"b'red, white and blue'",b'5773',b'tt0067660',b'90',"b""['documentary']""",b'/lcgsegubthsdvs9qrezu7mzk57c.jpg',b'0.39',b'3.3',b'2',b'1971-03-01'
b'slaves of sin',b'5777',b'tt0495195',b'66',"b""['documentary']""",b'none',b'0.029',b'0.0',b'0',b'1999-01-01'
b'sexual freedom in denmark',b'5778',b'tt0178315',b'79',"b""['documentary']""",b'/te8uxjcevvsdooxzcgtjn24gc7e.jpg',b'0.331',b'2.0',b'1',b'1970-03-01'
b'torn curtain',b'5780',b'tt0061107',b'128',"b""['mystery', 'thriller']""",b'/pwiu7euyflfmaubatvx3la0ygto.jpg',b'7.991',b'6.5',b'168',b'1966-07-13'
b'that obscure object of desire',b'5781',b'tt0075824',b'103',"b""['comedy', 'drama', 'romance']""",b'/9iudc4dftkjysbujq5daxc6wqb9.jpg',b'5.642',b'7.6',b'84',b'1977-08-17'
b'after death',b'5796',b'tt0094620',b'84',"b""['horror']""",b'/s06xl5vvwcif8gvkkqtymvxguue.jpg',b'1.442',b'4.1',b'17',b'1989-06-21'
b'famous t & a',b'5799',b'tt0495692',b'74',"b""['documentary']""",b'/hqnivx08cmumsl5n5zdpmhie8j0.jpg',b'1.226',b'8.5',b'2',b'1982-01-01'
b'can i do it till i need glasses?',b'5800',b'tt0075801',b'73',"b""['comedy']""",b'/ikd6wg7jgrcqmm115unegvwjylb.jpg',b'1.24',b'4.0',b'3',b'1977-08-01'
b'pather panchali',b'5801',b'tt0048473',b'125',"b""['drama']""",b'/frzj5djlu9hfejmcl21rjzvug5o.jpg',b'5.188',b'8.1',b'90',b'1955-08-26'
"b'sappho, darling'",b'5802',b'tt0064934',b'100',"b""['drama']""",b'/vtrmwxmbkvn7tqmm9p03dy61jda.jpg',b'0.041',b'0.0',b'0',b'1968-12-25'
b'the kill',b'5803',b'tt0207568',b'45',"b""['action', 'comedy', 'thriller']""",b'/hmpgslzmnijyue80mpq4my3b60c.jpg',b'0.388',b'2.5',b'2',b'1968-01-01'
b'the key to reserva',b'5804',b'tt1151319',b'10',"b""['crime', 'thriller']""",b'/hqlqwvezimof93h14dio3q09uq6.jpg',b'1.55',b'7.4',b'24',b'2007-12-14'
b'waiter',b'5816',b'tt0476681',b'95',"b""['comedy']""",b'/oe5tvvkh9avnuud5y5bxddgq1si.jpg',b'1.855',b'6.7',b'11',b'2006-09-28'
"b'you, the living'",b'5817',b'tt0445336',b'95',"b""['drama', 'comedy', 'music']""",b'/6vyvkevmya5ktpgwp4b0kwoc0sn.jpg',b'4.238',b'7.1',b'86',b'2007-09-21'
